Feature,Importance,Std
gics_sub_ind_Life Sciences Tools & Services,0.0,0.0
gics_sub_ind_Oil & Gas Storage & Transportation,0.0,0.0
gics_sub_ind_Oil & Gas Refining & Marketing,0.0,0.0
gics_sub_ind_Oil & Gas Exploration & Production,0.0,0.0
gics_sub_ind_Oil & Gas Equipment & Services,0.0,0.0
gics_sub_ind_Oil & Gas Drilling,0.0,0.0
gics_sub_ind_Pharmaceuticals,0.0,0.0
gics_sub_ind_Multi-line Insurance,0.0,0.0
gics_sub_ind_Multi-Utilities,0.0,0.0
gics_sub_ind_Environmental & Facilities Services,0.0,0.0
gics_sub_ind_Electronic Manufacturing Services,0.0,0.0
gics_sub_ind_Electronic Equipment & Instruments,0.0,0.0
gics_sub_ind_Electronic Components,0.0,0.0
gics_sub_ind_Electrical Components & Equipment,0.0,0.0
top_2_shareholder_location_China,0.0,0.0
gics_sub_ind_Office Services & Supplies,0.0,0.0
gics_sub_ind_Independent Power Producers & Energy Traders,0.0,0.0
gics_sub_ind_IT Consulting & Other Services,0.0,0.0
gics_sub_ind_Human Resource & Employment Services,0.0,0.0
gics_sub_ind_Life & Health Insurance,0.0,0.0
gics_sub_ind_Leisure Products,0.0,0.0
gics_sub_ind_Leisure Facilities,0.0,0.0
gics_sub_ind_Investment Banking & Brokerage,0.0,0.0
gics_sub_ind_Marine Ports & Services,0.0,0.0
gics_sub_ind_Interactive Media & Services,0.0,0.0
gics_sub_ind_Interactive Home Entertainment,0.0,0.0
gics_sub_ind_Integrated Telecommunication Services,0.0,0.0
gics_sub_ind_Multi-Sector Holdings,0.0,0.0
gics_sub_ind_Movies & Entertainment,0.0,0.0
gics_sub_ind_Motorcycle Manufacturers,0.0,0.0
"gics_sub_ind_Metal, Glass & Plastic Containers",0.0,0.0
gics_sub_ind_Marine Transportation,0.0,0.0
gics_sub_ind_Internet Services & Infrastructure,0.0,0.0
issuer_cntry_domicile_name_Macau,0.0,0.0
issuer_cntry_domicile_name_Turkey,0.0,0.0
issuer_cntry_domicile_name_Thailand,0.0,0.0
issuer_cntry_domicile_name_Taiwan,0.0,0.0
top_2_shareholder_location_Malaysia,0.0,0.0
issuer_cntry_domicile_name_South Korea,0.0,0.0
issuer_cntry_domicile_name_South Africa,0.0,0.0
gics_sub_ind_Electric Utilities,0.0,0.0
cntry_of_risk_BM,0.0,0.0
top_1_shareholder_location_Brazil,0.0,0.0
top_1_shareholder_location_Switzerland,0.0,0.0
top_1_shareholder_location_Sweden,0.0,0.0
top_2_shareholder_location_Brazil,0.0,0.0
cntry_of_risk_IL,0.0,0.0
cntry_of_risk_ID,0.0,0.0
cntry_of_risk_HK,0.0,0.0
cntry_of_risk_BR,0.0,0.0
cntry_of_risk_PR,0.0,0.0
cntry_of_risk_PL,0.0,0.0
cntry_of_risk_NZ,0.0,0.0
cntry_of_risk_NL,0.0,0.0
cntry_of_risk_MY,0.0,0.0
cntry_of_risk_MX,0.0,0.0
issuer_cntry_domicile_name_Luxembourg,0.0,0.0
issuer_cntry_domicile_name_Malaysia,0.0,0.0
issuer_cntry_domicile_name_JERSEY,0.0,0.0
issuer_cntry_domicile_name_Italy,0.0,0.0
issuer_cntry_domicile_name_Israel,0.0,0.0
issuer_cntry_domicile_name_Isle of Man,0.0,0.0
issuer_cntry_domicile_name_Singapore,0.0,0.0
issuer_cntry_domicile_name_New Zealand,0.0,0.0
issuer_cntry_domicile_name_Netherlands,0.0,0.0
issuer_cntry_domicile_name_Mexico,0.0,0.0
issuer_cntry_domicile_name_Kazakhstan,0.0,0.0
top_2_shareholder_location_Italy,0.0,0.0
top_3_shareholder_location_Denmark,0.0,0.0
top_3_shareholder_location_China,0.0,0.0
top_3_shareholder_location_Cayman Islands,0.0,0.0
top_3_shareholder_location_Bermuda,0.0,0.0
top_3_shareholder_location_Belgium,0.0,0.0
top_3_shareholder_location_Bahamas,0.0,0.0
cntry_of_risk_GR,0.0,0.0
top_1_shareholder_location_Spain,0.0,0.0
top_1_shareholder_location_South Africa,0.0,0.0
top_1_shareholder_location_Mexico,0.0,0.0
top_1_shareholder_location_Luxembourg,0.0,0.0
top_2_shareholder_location_Belgium,0.0,0.0
top_2_shareholder_location_Austria,0.0,0.0
top_1_shareholder_location_Turkey,0.0,0.0
top_1_shareholder_location_Thailand,0.0,0.0
top_3_shareholder_location_Israel,0.0,0.0
cntry_of_risk_GH,0.0,0.0
cntry_of_risk_MO,0.0,0.0
cntry_of_risk_LU,0.0,0.0
cntry_of_risk_KZ,0.0,0.0
cntry_of_risk_KR,0.0,0.0
cntry_of_risk_JO,0.0,0.0
cntry_of_risk_IN,0.0,0.0
issuer_cntry_domicile_name_China,0.0,0.0
issuer_cntry_domicile_name_Denmark,0.0,0.0
issuer_cntry_domicile_name_Brazil,0.0,0.0
issuer_cntry_domicile_name_Bermuda,0.0,0.0
issuer_cntry_domicile_name_Austria,0.0,0.0
issuer_cntry_domicile_name_Indonesia,0.0,0.0
issuer_cntry_domicile_name_India,0.0,0.0
issuer_cntry_domicile_name_Hong Kong,0.0,0.0
issuer_cntry_domicile_name_Greece,0.0,0.0
issuer_cntry_domicile_name_Finland,0.0,0.0
issuer_cntry_domicile_name_Cayman Islands,0.0,0.0
top_3_shareholder_location_Greece,0.0,0.0
top_3_shareholder_location_Germany,0.0,0.0
top_3_shareholder_location_Panama,0.0,0.0
top_3_shareholder_location_Not Available,0.0,0.0
top_3_shareholder_location_New Zealand,0.0,0.0
top_3_shareholder_location_Namibia,0.0,0.0
top_3_shareholder_location_Liechtenstein,0.0,0.0
gics_sub_ind_Education Services,0.0,0.0
top_3_shareholder_location_Switzerland,0.0,0.0
top_3_shareholder_location_Sweden,0.0,0.0
top_3_shareholder_location_Spain,0.0,0.0
top_3_shareholder_location_South Korea,0.0,0.0
top_3_shareholder_location_Singapore,0.0,0.0
top_3_shareholder_location_Portugal,0.0,0.0
top_3_shareholder_location_Poland,0.0,0.0
top_1_shareholder_location_Belgium,0.0,0.0
top_3_shareholder_location_Japan,0.0,0.0
gics_sector_Materials,0.0,0.0
gics_sub_ind_Automotive Parts & Equipment,0.0,0.0
gics_sub_ind_Automobile Manufacturers,0.0,0.0
gics_sub_ind_Asset Management & Custody Banks,0.0,0.0
gics_sub_ind_Application Software,0.0,0.0
"gics_sub_ind_Apparel, Accessories & Luxury Goods",0.0,0.0
gics_sub_ind_Apparel Retail,0.0,0.0
gics_sub_ind_Aluminum,0.0,0.0
top_3_shareholder_location_Guernsey,0.0,0.0
cntry_of_risk_FI,0.0,0.0
cntry_of_risk_DK,0.0,0.0
cntry_of_risk_CN,0.0,0.0
top_2_shareholder_location_Liechtenstein,0.0,0.0
top_2_shareholder_location_Sweden,0.0,0.0
top_2_shareholder_location_Switzerland,0.0,0.0
top_2_shareholder_location_Taiwan,0.0,0.0
top_2_shareholder_location_Turkey,0.0,0.0
gics_sub_ind_Alternative Carriers,0.0,0.0
top_3_shareholder_location_Austria,0.0,0.0
top_3_shareholder_location_Australia,0.0,0.0
top_3_shareholder_location_United States,0.0,0.0
top_3_shareholder_location_Finland,0.0,0.0
top_1_shareholder_location_China,0.0,0.0
gics_sub_ind_Transaction & Payment Processing Services,0.0,0.0
cntry_of_risk_CL,0.0,0.0
gics_sub_ind_Wireless Telecommunication Services,0.0,0.0
top_3_shareholder_location_Indonesia,0.0,0.0
top_3_shareholder_location_Hong Kong,0.0,0.0
cntry_of_risk_BF,0.0,0.0
issuer_cntry_domicile_name_Uruguay,0.0,0.0
top_2_shareholder_location_Greece,0.0,0.0
top_2_shareholder_location_Germany,0.0,0.0
top_2_shareholder_location_France,0.0,0.0
top_2_shareholder_location_Finland,0.0,0.0
issuer_cntry_domicile_name_Sweden,0.0,0.0
gics_sub_ind_Water Utilities,0.0,0.0
top_2_shareholder_location_Cayman Islands,0.0,0.0
gics_sub_ind_Trading Companies & Distributors,0.0,0.0
gics_sub_ind_Tires & Rubber,0.0,0.0
top_1_shareholder_location_Israel,0.0,0.0
top_1_shareholder_location_Ireland,0.0,0.0
top_1_shareholder_location_India,0.0,0.0
top_1_shareholder_location_Germany,0.0,0.0
top_2_shareholder_location_Netherlands,0.0,0.0
top_2_shareholder_location_Israel,0.0,0.0
top_2_shareholder_location_Hong Kong,0.0,0.0
top_2_shareholder_location_Spain,0.0,0.0
top_2_shareholder_location_South Korea,0.0,0.0
top_2_shareholder_location_South Africa,0.0,0.0
top_2_shareholder_location_Singapore,0.0,0.0
top_2_shareholder_location_Romania,0.0,0.0
top_2_shareholder_location_New Zealand,0.0,0.0
top_1_shareholder_location_France,0.0,0.0
gics_sub_ind_Homebuilding,0.0,0.0
gics_sub_ind_Home Improvement Retail,0.0,0.0
gics_sub_ind_Home Furnishings,0.0,0.0
gics_sub_ind_Cargo Ground Transportation,0.0,0.0
gics_sub_ind_Cable & Satellite,0.0,0.0
gics_sub_ind_Building Products,0.0,0.0
gics_sub_ind_Broadline Retail,0.0,0.0
gics_sector_Real Estate,0.0,0.0
gics_sub_ind_Biotechnology,0.0,0.0
gics_sub_ind_Automotive Retail,0.0,0.0
gics_sub_ind_Construction & Engineering,0.0,0.0
gics_sub_ind_Computer & Electronics Retail,0.0,0.0
gics_sub_ind_Communications Equipment,0.0,0.0
gics_sub_ind_Commodity Chemicals,0.0,0.0
gics_sub_ind_Commercial Printing,0.0,0.0
gics_sub_ind_Commercial & Residential Mortgage Finance,0.0,0.0
gics_sub_ind_Broadcasting,0.0,0.0
gics_sub_ind_Gold,0.0,0.0
gics_sub_ind_Gas Utilities,0.0,0.0
gics_sub_ind_Forest Products,0.0,0.0
gics_sub_ind_Footwear,0.0,0.0
gics_sub_ind_Financial Exchanges & Data,0.0,0.0
gics_sub_ind_Fertilizers & Agricultural Chemicals,0.0,0.0
gics_sub_ind_Highways & Railtracks,0.0,0.0
gics_sub_ind_Heavy Electrical Equipment,0.0,0.0
gics_sub_ind_Homefurnishing Retail,0.0,0.0
gics_sub_ind_Health Care Supplies,0.0,0.0
gics_sub_ind_Health Care Services,0.0,0.0
gics_sub_ind_Health Care Facilities,0.0,0.0
gics_sub_ind_Health Care Equipment,0.0,0.0
gics_sub_ind_Health Care Distributors,0.0,0.0
gics_sub_ind_Housewares & Specialties,0.0,0.0
gics_sub_ind_Household Appliances,0.0,0.0
"gics_sub_ind_Hotels, Resorts & Cruise Lines",0.0,0.0
gics_sub_ind_Health Care Technology,0.0,0.0
cntry_of_risk_TH,0.0,0.0
cntry_of_risk_SG,0.0,0.0
cntry_of_risk_SE,0.0,0.0
cntry_of_risk_RU,0.0,0.0
gics_sector_Information Technology,0.0,0.0
gics_sector_Industrials,0.0,0.0
gics_sector_Health Care,0.0,0.0
gics_sector_Financials,0.0,0.0
gics_sub_ind_Coal & Consumable Fuels,0.0,0.0
gics_sector_Consumer Staples,0.0,0.0
gics_sector_Consumer Discretionary,0.0,0.0
cntry_of_risk_ZM,0.0,0.0
gics_sub_ind_Airport Services,0.0,0.0
gics_sub_ind_Air Freight & Logistics,0.0,0.0
gics_sub_ind_Agricultural & Farm Machinery,0.0,0.0
gics_sub_ind_Aerospace & Defense,0.0,0.0
gics_sector_Utilities,0.0,0.0
gics_sector_Energy,0.0,0.0
gics_sub_ind_Casinos & Gaming,0.0,0.0
gics_sub_ind_Data Processing & Outsourced Services,0.0,0.0
gics_sub_ind_Copper,0.0,0.0
gics_sub_ind_Consumer Finance,0.0,0.0
gics_sub_ind_Consumer Electronics,0.0,0.0
gics_sub_ind_Construction Materials,0.0,0.0
gics_sub_ind_Construction Machinery & Heavy Transportation Equipment,0.0,0.0
gics_sub_ind_Diversified Support Services,0.0,0.0
cntry_of_risk_TR,0.0,0.0
gics_sub_ind_Diversified Metals & Mining,0.0,0.0
gics_sub_ind_Diversified Financial Services,0.0,0.0
gics_sub_ind_Diversified Chemicals,0.0,0.0
gics_sub_ind_Diversified Capital Markets,0.0,0.0
gics_sub_ind_Diversified Banks,0.0,0.0
gics_sub_ind_Distributors,0.0,0.0
cntry_of_risk_ZA,0.0,0.0
cntry_of_risk_TW,0.0,0.0
gics_sub_ind_Diversified Real Estate Activities,0.0,0.0
gics_sub_ind_Food Distributors,-0.010729459413830966,0.0
cntry_of_risk_JP,-0.01777038066041925,0.03163005600950086
issuer_cntry_domicile_name_Japan,-0.017770380660426355,0.03163005600950797
issuer_cntry_domicile_name_Canada,-0.050677143182092266,0.01426718815164918
top_1_shareholder_location_Canada,-0.05067714318209937,0.01426718815164918
cntry_of_risk_CA,-0.05067714318209937,0.01426718815164918
hist_capex_sales,-0.12523319108655429,0.19639293195819718
gics_sub_ind_Agricultural Products & Services,-0.13103265061623048,0.06073707265946737
issuer_cntry_domicile_name_Switzerland,-0.1420894813938709,0.0960727798177281
top_1_shareholder_location_Norway,-0.1456962569048983,0.034396934681844016
hist_eps_usd,-0.19745579646225409,0.29244212245062684
hist_net_chg_lt_debt_usd,-0.20076789305576526,0.13812821328203384
beta,-0.20559805078210402,0.399478325255469
top_3_shareholder_location_France,-0.23353657714511655,0.09937737346777453
hist_capex_depr,-0.23458242439714283,0.23187817196850702
top_2_shareholder_location_Canada,-0.24990659741304455,0.09318375102468934
gics_sub_ind_Consumer Staples Merchandise Retail,-0.32509550582997804,0.1589800429574879
gics_sub_ind_Distillers & Vintners,-0.3292885627093476,0.19933310600844223
return_usd,-0.448028274463411,0.1422397658032324
top_3_shareholder_location_Luxembourg,-0.5882261076923747,0.29465220344748744
gics_sub_ind_Soft Drinks & Non-alcoholic Beverages,-0.6448587658246439,0.8774709657003541
gics_sub_ind_Household Products,-0.7278462461204072,0.13826471459869794
issuer_cntry_domicile_name_United Kingdom,-0.9360875965973747,0.36471702184601185
hist_fcf_yld,-1.0694282079821171,0.6959391084500872
