Feature,Importance
yeo_joh_top_3_shareholder_percentage,14.22057434794
cntry_of_risk,6.471772208626213
issuer_cntry_domicile,5.2412072216747
yeo_joh_hist_net_debt_usd,4.6243600432506
top_3_shareholder_location,4.523712459063937
yeo_joh_return_usd,4.521541889862677
top_2_shareholder_location,4.376224653011561
yeo_joh_shares_float,4.16127711157683
gics_sector,3.7493927106242584
top_1_shareholder_location,3.63043001903568
yeo_joh_hist_fcf_yld,3.475717310663116
yeo_joh_top_1_shareholder_percentage,3.223315514726808
yeo_joh_market_cap_usd,2.8211557564085648
yeo_joh_hist_ev_usd,2.7340985012293495
yeo_joh_top_2_shareholder_percentage,2.705857264767746
yeo_joh_hist_gross_profit_usd,2.6656449178711643
gics_sub_ind,2.4969312542938296
yeo_joh_hist_asset_turnover,2.1664201896217037
yeo_joh_vola,2.12413100730473
yeo_joh_hist_roa,1.9278233570071257
yeo_joh_hist_capex_sales,1.8753095779955105
yeo_joh_hist_pe,1.6790599643812276
yeo_joh_hist_roe,1.5088478435858368
yeo_joh_hist_roic,1.489729711442793
yeo_joh_hist_capex_depr,1.4536713564841997
yeo_joh_hist_rd_exp_usd,1.4318511599579093
yeo_joh_net_income_usd,1.4215299867688336
yeo_joh_hist_book_px,1.3901826694125736
yeo_joh_beta,1.3363597027899692
yeo_joh_hist_net_chg_lt_debt_usd,1.3133755932169426
yeo_joh_shares_outstanding,1.283502307323307
yeo_joh_hist_eps_usd,0.9926109136326815
yeo_joh_hist_ebitda_ev,0.9623814744476866
